Souche;tronc;element;sarment;rameau;rang;x;y;z;diam
1;2;1.B.1;2;1;1;7.62;-1.42;63.69;1.314
1;2;1.B.1;2;1;2;9.49;1.32;65.1;0.985
1;2;1.B.1;2;1;3;11.52;5.09;66.31;0.775
1;2;1.B.1;2;1;4;13.39;10.48;67.83;0.731
1;2;1.B.1;2;1;5;16.72;17.37;70.72;0.756
1;2;1.B.1;2;1;6;18.38;23.54;72.78;0.764
1;2;1.B.1;2;1;7;20.76;29.04;74.76;0.774
1;2;1.B.1;2;1;8;22.56;38.15;77.75;0.708
1;2;1.B.1;2;1;9;25.54;44.66;81.13;0.626
1;2;1.B.1;2;1;10;26.47;51.81;84.07;0.573
1;2;1.B.1;2;1.9_1;1;27.83;45.25;83.99;0.365
1;2;1.B.1;2;1.9_1;2;29.02;46.46;87.5;0.345
1;2;1.B.1;2;2;0;8.49;-4.45;64.73;0.923
1;2;1.B.1;2;2;1;9.13;-5.54;65.44;0.801
1;2;1.B.1;2;2;2;9.89;-6.87;67.81;0.638
1;2;1.B.1;2;2;3;11.5;-8.76;71.45;0.687
1;2;1.B.1;2;2;4;15.17;-10.55;77.18;0.678
1;2;1.B.1;2;2;5;19.67;-15.22;86.1;0.682
1;2;1.B.1;2;2;6;26.4;-19.41;99.77;0.638
1;2;1.B.1;2;2;7;29.41;-22.05;108.19;0.657
1;2;1.B.1;2;2;8;32.92;-24.96;115.92;0.577
1;2;1.B.1;2;2.5_1;1;20.53;-19.08;90.63;0.222
1;2;1.B.1;2;2.5_1;2;22.61;-23.66;89.15;0.113
1;2;1.B.1;2;2.7_1;1;28.38;-22.95;113.05;0.44
1;2;1.B.1;2;2.7_1;2;28.88;-22.51;118.01;0.381
1;2;1.B.1;2;2.7_1;3;30.06;-22.14;122.35;0.354
1;2;1.B.1;2;2.7_1;4;32.14;-21.63;126.83;0.35
1;2;1.B.1;2;2.8_1;1;34.26;-25.42;116.31;0.326
1;2;1.B.2;0;0;0;11.58;-5.18;58.13;3.53
1;2;1.B.2;1;0;0;12.93;-5.5;58.48;1.843
1;2;1.B.2;1;1;0;15.8;-6.29;58.39;0.86
1;2;1.B.2;1;1;1;16.78;-5.66;59.37;0.74
1;2;1.B.2;1;1;2;17.43;-5.77;62.6;0.674
1;2;1.B.2;1;1;3;17.8;-5.82;66.52;0.718
1;2;1.B.2;1;1;4;19.23;-5.66;72.79;0.674
1;2;1.B.2;1;1;5;20.64;-6.25;83.74;0.555
1;2;1.B.2;1;1;6;21.78;-6.61;94.33;0.513
1;2;1.B.2;1;1;7;22.21;-8.23;101.76;0.542
1;2;1.B.2;1;1;8;21.65;-9.06;111.85;0.462
1;2;1.B.2;1;1;9;20.34;-10.93;119.59;0.447
1;2;1.B.2;1;1.5_1;1;23.63;-6.25;86.64;0.058
1;2;1.B.2;1;1.6_1;1;22.43;-5.03;96.04;0.072
1;2;1.B.2;1;1.7_1;1;24.69;-7.59;102.25;0.072
1;2;1.B.2;1;1.9_1;1;20.93;-10.33;122.7;0.243
1;2;2;0;0;0;11.91;3.88;59.15;3.531
1;2;2;0;G1;0;12.16;4.45;55.73;0.896
1;2;2;0;G1;1;11.59;5.93;56.02;0.58
1;2;2;0;G1;2;10.63;8.18;55.24;0.534
1;2;2;0;G1;3;9.15;11.67;54.98;0.471
1;2;2;0;G1;4;7.85;14.63;51.89;0.45
1;2;2;0;G1;5;7.1;19.15;49.8;0.439
1;2;2;0;G1;6;6.17;24.23;46.81;0.401
1;2;2;0;G1;7;6.04;30.38;45.95;0.381
1;2;2;0;G1;8;5.56;35.53;47.39;0.34
1;2;2;0;G1.8_1;1;6.44;36.27;47.79;0.448
1;2;2;0;G1.8_1;2;6.11;39.1;47.14;0.325
1;2;2;0;G1.8_1;3;6.36;45.86;47.66;0.284
1;2;3;0;0;0;20.68;3.75;59.52;3.518
1;2;3.A;0;0;0;19.42;-1.83;62.41;4.845
1;2;3.A;1;0;0;20.07;-5.87;63.88;2.219
1;2;3.A;1;1;0;19.4;-5.62;65.31;1.257
1;2;3.A;1;1;1;19.06;-5.15;66.5;1.043
1;2;3.A;1;1;2;18.76;-4.38;69.6;0.823
1;2;3.A;1;1;3;18.69;-3.58;75.45;0.869
1;2;3.A;1;1;4;18.42;-2.88;82.91;0.835
1;2;3.A;1;1;5;19.78;-2;92.39;0.821
1;2;3.A;1;1;6;21.35;0.4;104.17;0.786
1;2;3.A;1;1;7;23.39;3.25;112.31;0.749
1;2;3.A;1;1;8;24.07;6.9;122;0.651
1;2;3.A;1;1.5_1;1;24.55;-3.2;93.42;0.283
1;2;3.A;1;1.6_1;1;19.69;-1.33;107.54;0.3
1;2;3.A;1;1.7_1;1;25.77;3.97;114.91;0.477
1;2;3.A;1;1.7_1;2;26.47;6.03;118.96;0.413
1;2;3.A;1;1.7_1;3;27.36;8.22;123.09;0.383
1;2;3.A;1;1.8_1;1;22.09;7.64;124.88;0.3
1;2;3.A;1;1.8_1.1_1;1;22.75;6.79;125.68;0.183
1;2;3.A;1;1.8_1.1_1;2;22.37;6.93;126;0.135
1;2;3.A;1;2;0;19.14;-9.87;65.93;1.729
